"value_log","value_log_scaled","precision_scaled","characteristic_order_scaled","indicator_order_scaled","data_quality_score_scaled","is_preferred","high_precision","indicator_encoded","survey_cohort","dataset_source_encoded","char_order_quintile","indicator_importance","sample_size_tier","by_var_0","by_var_14000","by_var_14001","by_var_14002","by_var_Other","type_D","type_I","type_S","type_T","type_U","char_Five.year.periods","char_Source.of.vaccination.information","char_Total","char_Total.15.49"
4.61512051684126,0.20382898192577,0.660268182408527,-0.322739570245733,-0.660063410163954,-1.59803618246479,0,1,200,45,1,2,"Low","Medium",0,1,0,0,0,0,0,0,1,0,0,0,1,0
4.44851637594271,0.135278287223922,0.660268182408527,-0.322739570245733,-0.660063257702282,-1.59803618246479,0,1,196,59,3,4,"Low","Medium",0,1,0,0,0,0,1,0,0,0,0,0,1,0
0.53062825106217,-1.47677019654235,0.660268182408527,-0.322739570245733,1.87988843589664,0.624930350684553,1,1,247,86,7,3,"Low","Large",1,0,0,0,0,0,0,1,0,0,0,0,1,0
8.79285328864069,1.92279276182321,-1.51250861168473,-0.185603726478135,0.130251576004611,0.624930350684553,1,1,172,76,4,5,"Low","Medium",1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.58923520511658,-1.04119733667671,0.660268182408527,3.35252846989465,-0.502720067698978,-1.59803618246479,0,1,264,24,5,5,"Low","Small",0,0,0,0,1,0,1,0,0,0,0,1,0,0
2.70805020110221,-0.580851364457663,-1.51250861168473,-0.322739570245733,-0.97047598457592,0.624930350684553,1,1,255,69,2,5,"Low","Medium",0,0,1,0,0,0,1,0,0,0,0,0,1,0
4.31481788498043,0.0802669028332153,0.660268182408527,3.35252846989465,-0.502723269394094,-1.59803618246479,0,1,44,24,5,5,"Low","Small",0,0,0,0,1,0,1,0,0,0,0,1,0,0
5.01727983681492,0.36930086405507,-1.51250861168473,-0.322739570245733,-0.759667230448018,0.624930350684553,1,1,256,53,3,4,"Low","Medium",1,0,0,0,0,0,1,0,0,0,0,0,1,0
2.65324196460721,-0.603402680810616,0.660268182408527,-0.322739570245733,1.87987227495939,0.624930350684553,1,1,79,83,7,3,"Low","Large",1,0,0,0,0,0,1,0,0,0,0,0,1,0
7.23489842031483,1.28175894380484,-1.51250861168473,-0.322739570245733,-0.658584074558759,0.624930350684553,1,1,152,30,1,2,"Low","Medium",1,0,0,0,0,1,0,0,0,0,0,0,1,0
2.87356463957978,-0.51274903711075,0.660268182408527,-0.322739570245733,-0.499521116893227,0.624930350684553,1,1,283,9,1,2,"Low","Small",0,0,1,0,0,0,1,0,0,0,0,0,1,0
6.87935580446044,1.13546790216877,-1.51250861168473,-0.322739570245733,-0.502414686969595,0.624930350684553,1,1,127,24,5,2,"Low","Small",1,0,0,0,0,0,0,0,0,1,0,0,1,0
7.0833878476253,1.21941862647223,-1.51250861168473,-0.322739570245733,0.136366482834057,0.624930350684553,1,1,154,27,4,3,"Low","Medium",1,0,0,0,0,1,0,0,0,0,0,0,1,0
