data_id,value,value_log,value_category,value_log_scaled,precision_scaled,characteristic_order_scaled,indicator_order_scaled,data_quality_score_scaled,is_preferred,high_precision,indicator_encoded,survey_cohort,dataset_source_encoded,char_order_quintile,indicator_importance,sample_size_tier,by_var_0,by_var_14000,by_var_14001,by_var_14002,by_var_Other,type_D,type_I,type_S,type_T,type_U,char_Five year periods,char_Source of vaccination information,char_Total,char_Total 15-49
413498,1.4,0.8754687373538999,Low,-1.3348826373908869,0.6602681824085275,-0.32273957024573297,-0.6594535634752209,-1.5980361824647868,0,1,17,74,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
15527,1.2,0.7884573603642702,Low,-1.3706842105536798,0.6602681824085275,-0.32273957024573297,-0.6594535634752209,0.6249303506845532,1,1,17,46,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
508214,9.9,2.388762789235098,Low,-0.7122248932007094,0.6602681824085275,-0.32273957024573297,-0.6594534110135487,-1.5980361824647868,0,1,15,59,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
413490,10.5,2.4423470353692043,Low,-0.6901771981208815,0.6602681824085275,-0.32273957024573297,-0.6594534110135487,-1.5980361824647868,0,1,15,74,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
15524,9.7,2.3702437414678603,Low,-0.7198447133493209,0.6602681824085275,-0.32273957024573297,-0.6594534110135487,0.6249303506845532,1,1,15,46,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
508219,2.1,1.1314021114911006,Low,-1.2295766678041113,0.6602681824085275,-0.32273957024573297,-0.6594532585518765,-1.5980361824647868,0,1,13,59,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
413499,2.1,1.1314021114911006,Low,-1.2295766678041113,0.6602681824085275,-0.32273957024573297,-0.6594532585518765,-1.5980361824647868,0,1,13,74,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
15528,1.8,1.0296194171811583,Low,-1.2714560254595804,0.6602681824085275,-0.32273957024573297,-0.6594532585518765,0.6249303506845532,1,1,13,46,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
508215,1.2,0.7884573603642702,Low,-1.3706842105536798,0.6602681824085275,-0.32273957024573297,-0.6594531060902044,-1.5980361824647868,0,1,12,59,1,1,Low,Medium,0,1,0,0,0,0,0,1,0,0,0,0,1,0
413491,1.7,0.9932517730102833,Low,-1.2864198028251217,0.6602681824085275,-0.32273957024573297,-0.6594531060902044,-1.5980361824647868,0,1,12,74,1,1,Low,Medium,0,0,1,0,0,0,0,1,0,0,0,0,1,0
